ID,Agency,Agency Type,Distribution Channel,Product Name,Duration,Destination,Net Sales,Commision (in value),Age,Claim
2010,EPX,Travel Agency,Online,Cancellation Plan,61,PHILIPPINES,12.0,0.0,41,0
4245,EPX,Travel Agency,Online,Cancellation Plan,4,MALAYSIA,17.0,0.0,35,0
9251,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,26,THAILAND,19.8,11.88,47,0
4754,EPX,Travel Agency,Online,2 way Comprehensive Plan,15,HONG KONG,27.0,0.0,48,0
8840,EPX,Travel Agency,Online,2 way Comprehensive Plan,15,MALAYSIA,37.0,0.0,36,0
5959,EPX,Travel Agency,Online,2 way Comprehensive Plan,4,THAILAND,25.0,0.0,38,0
6031,EPX,Travel Agency,Online,Cancellation Plan,215,UNITED KINGDOM,59.0,0.0,36,0
8394,JZI,Airlines,Online,Basic Plan,31,VIET NAM,22.0,7.7,43,0
3017,EPX,Travel Agency,Online,2 way Comprehensive Plan,13,CHINA,48.66269892542281,0.0,36,1
8054,C2B,Airlines,Online,Bronze Plan,10,SINGAPORE,23.25882404450881,5.81729425157229,28,1
3595,EPX,Travel Agency,Online,2 way Comprehensive Plan,83,CHINA,66.82379285302004,0.0,36,1
8195,C2B,Airlines,Online,Silver Plan,22,SINGAPORE,82.55,20.64,31,1
2228,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,48,MALAYSIA,39.6,23.76,31,0
5083,EPX,Travel Agency,Online,2 way Comprehensive Plan,24,SINGAPORE,27.0,0.0,36,0
2165,C2B,Airlines,Online,Bronze Plan,17,SINGAPORE,58.21164375884098,14.552910939710245,66,1
6597,EPX,Travel Agency,Online,2 way Comprehensive Plan,58,VIET NAM,21.0,0.0,36,0
3000,EPX,Travel Agency,Online,2 way Comprehensive Plan,43,JAPAN,82.0,0.0,36,0
8850,EPX,Travel Agency,Online,Cancellation Plan,98,INDONESIA,16.0,0.0,36,0
6157,EPX,Travel Agency,Online,Cancellation Plan,12,UNITED ARAB EMIRATES,21.0,0.0,36,0
5232,C2B,Airlines,Online,Bronze Plan,36,SINGAPORE,47.0,11.75,25,0
9597,EPX,Travel Agency,Online,2 way Comprehensive Plan,4,MALAYSIA,31.0,0.0,52,0
6774,EPX,Travel Agency,Online,1 way Comprehensive Plan,8,MALAYSIA,20.0,0.0,36,0
3266,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,13,UNITED ARAB EMIRATES,69.3,41.58,31,0
2440,C2B,Airlines,Online,Bronze Plan,53,SINGAPORE,21.0,5.25,40,0
7018,RAB,Airlines,Online,Value Plan,6,BRUNEI DARUSSALAM,15.0,6.0,50,0
3006,EPX,Travel Agency,Online,Cancellation Plan,47,SINGAPORE,59.0,0.0,36,0
6319,EPX,Travel Agency,Online,2 way Comprehensive Plan,61,UNITED ARAB EMIRATES,41.0,0.0,35,0
5688,EPX,Travel Agency,Online,2 way Comprehensive Plan,116,UNITED STATES,112.0,0.0,48,0
5747,EPX,Travel Agency,Online,2 way Comprehensive Plan,45,UNITED STATES,112.0,0.0,51,1
5887,EPX,Travel Agency,Online,Cancellation Plan,122,INDONESIA,39.0,0.0,36,0
7066,EPX,Travel Agency,Online,2 way Comprehensive Plan,151,PHILIPPINES,45.0,0.0,36,0
6106,C2B,Airlines,Online,Annual Silver Plan,374,SINGAPORE,216.0,54.0,33,0
9835,EPX,Travel Agency,Online,Cancellation Plan,12,CHINA,34.0,0.0,36,0
6138,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,4,THAILAND,0.0,17.82,30,0
6210,EPX,Travel Agency,Online,2 way Comprehensive Plan,20,INDONESIA,20.0,0.0,36,0
9502,EPX,Travel Agency,Online,1 way Comprehensive Plan,4,CHINA,22.0,0.0,36,0
9068,JZI,Airlines,Online,Value Plan,73,UNITED STATES,96.0,33.6,36,0
4003,EPX,Travel Agency,Online,2 way Comprehensive Plan,32,CANADA,112.0,0.0,32,0
4641,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,16,THAILAND,39.6,23.76,37,0
7349,TST,Travel Agency,Offline,Travel Cruise Protect,47,THAILAND,30.0,10.5,71,0
6276,EPX,Travel Agency,Online,2 way Comprehensive Plan,122,THAILAND,20.0,0.0,40,0
4386,EPX,Travel Agency,Online,2 way Comprehensive Plan,9,CHINA,74.0,0.0,36,0
6004,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,26,MALAYSIA,29.7,17.82,28,0
2511,EPX,Travel Agency,Online,1 way Comprehensive Plan,9,CHINA,20.0,0.0,36,0
6507,CSR,Travel Agency,Offline,Comprehensive Plan,55,MALAYSIA,29.0,9.57,61,0
2969,EPX,Travel Agency,Online,2 way Comprehensive Plan,15,MALAYSIA,20.0,0.0,36,0
9156,JWT,Airlines,Online,Value Plan,49,INDIA,31.0,12.4,118,0
6426,EPX,Travel Agency,Online,2 way Comprehensive Plan,122,"KOREA, REPUBLIC OF",52.0,0.0,36,0
2515,EPX,Travel Agency,Online,Cancellation Plan,45,"KOREA, REPUBLIC OF",10.0,0.0,24,0
9154,EPX,Travel Agency,Online,Cancellation Plan,5,CAMBODIA,10.0,0.0,36,0
5771,EPX,Travel Agency,Online,Cancellation Plan,7,THAILAND,10.0,0.0,36,0
3465,TST,Travel Agency,Offline,Travel Cruise Protect,72,MALAYSIA,30.0,10.5,59,0
2691,EPX,Travel Agency,Online,1 way Comprehensive Plan,20,UNITED STATES,20.0,0.0,40,0
2406,C2B,Airlines,Online,Annual Gold Plan,391,SINGAPORE,449.25,112.31,32,0
9317,EPX,Travel Agency,Online,2 way Comprehensive Plan,90,CHINA,45.95876849592713,0.0,36,1
4717,EPX,Travel Agency,Online,Cancellation Plan,25,UNITED STATES,69.0,0.0,46,0
7759,EPX,Travel Agency,Online,Cancellation Plan,2,MALAYSIA,11.0,0.0,22,0
9669,EPX,Travel Agency,Online,1 way Comprehensive Plan,11,INDONESIA,24.0,0.0,36,0
2561,EPX,Travel Agency,Online,2 way Comprehensive Plan,15,SINGAPORE,31.0,0.0,36,0
3271,EPX,Travel Agency,Online,2 way Comprehensive Plan,61,UNITED KINGDOM,80.0,0.0,36,0
3315,EPX,Travel Agency,Online,2 way Comprehensive Plan,24,MALAYSIA,20.0,0.0,36,0
5013,C2B,Airlines,Online,Silver Plan,148,SINGAPORE,245.8563467896543,61.46610114530837,50,1
5266,C2B,Airlines,Online,Bronze Plan,77,SINGAPORE,0.0,15.0,28,0
2604,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,23,AUSTRALIA,89.1,53.46,33,0
7385,EPX,Travel Agency,Online,Cancellation Plan,67,MONGOLIA,52.0,0.0,36,0
4313,C2B,Airlines,Online,Annual Silver Plan,365,SINGAPORE,252.85,63.21,61,1
5740,EPX,Travel Agency,Online,Cancellation Plan,10,UNITED STATES,80.0,0.0,74,0
9723,EPX,Travel Agency,Online,2 way Comprehensive Plan,23,VIET NAM,23.0,0.0,36,0
3108,EPX,Travel Agency,Online,Cancellation Plan,5,MALAYSIA,10.0,0.0,49,0
7521,C2B,Airlines,Online,Bronze Plan,1,SINGAPORE,13.8,3.45,30,0
7537,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,44,MALAYSIA,29.7,17.82,51,0
3804,EPX,Travel Agency,Online,2 way Comprehensive Plan,20,"KOREA, REPUBLIC OF",50.0,0.0,36,0
8880,LWC,Travel Agency,Online,Single Trip Travel Protect Gold,3,JAPAN,26.65194733916697,17.323765770458532,31,1
4288,CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,18,SOUTH AFRICA,79.2,47.52,35,0
3619,C2B,Airlines,Online,Annual Silver Plan,396,SINGAPORE,291.75,72.94,34,1
5498,EPX,Travel Agency,Online,2 way Comprehensive Plan,54,PHILIPPINES,20.0,0.0,36,0
8985,EPX,Travel Agency,Online,2 way Comprehensive Plan,57,AUSTRALIA,45.0,0.0,29,0
6695,EPX,Travel Agency,Online,1 way Comprehensive Plan,5,PHILIPPINES,20.0,0.0,36,0
4930,EPX,Travel Agency,Online,Cancellation Plan,12,CHINA,41.0,0.0,36,0
